#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# /Users/friedman1/idl/sn/text/00_bayesn_fixed_metadata.txt
# Created by User : friedman1
# On Machine      : multiverse.mit.edu
# On Date         : Wed Mar  2 17:35:14 EST 2016
# From IDL Script : ~/Desktop/CfAIR2_paper/bayesn_metadata.pro
# With IDL Script : /Users/friedman1/idl/sn/write_array_file.pro
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Header 
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#snname           type   RA          DEC            RA_sex        DEC_sex      lII         bII          z_helio        z_err   z_cmb          E(B-V)   dE(B-V)   Av_gal   Gal_Name                     Morph                TBmax      dTBmax   TBmax_est   Av_mlcs   dAv     Rv_mlcs   dRv    Delta    dDelta   mu_mlcs   dmu     Comments                                                                    
snf20080514-002   Ia     202.30300   11.272389      13h29m13.5s   +11d16m08s   333.99234   71.827750    0.022095000    0.001   0.023060854    0.0337   0.0016    0.1045   UGC_8472                     S0                   54611.55   0.42     -999        0.044     0.036   2.80      0.00   0.275    0.068    35.375    0.078   2015-Jun-07_03:19:19_(grid)_good_fit_(0.3598_<_3.0000000)_snf20080514-002   
sn2008af          Ia     224.86800   16.653417      14h59m28.5s   +16d39m12s   20.130046   58.616976    0.033507000    0.001   0.034107304    0.0335   0.0014    0.1040   UGC_9640                     E                    54500.47   1.02     -999        0.082     0.062   2.89      0.20   0.275    0.092    36.133    0.121   2015-Jun-06_03:38:42_(grid)_good_fit_(0.2795_<_3.0000000)_sn2008af          
sn2008Z           Ia     145.81354   36.284417      09h43m15.3s   +36d17m04s   187.84306   49.349778    0.021000000    0.001   0.021827730    0.0114   0.0007    0.0354   SDSS_J094315.36+361709.2     Anon                 54514.66   0.19     -999        0.526     0.092   3.07      0.35   -0.176   0.038    35.498    0.097   2015-Jun-07_04:33:41_(grid)_good_fit_(0.3040_<_3.0000000)_sn2008Z           
sn2008C           Ia     104.29804   20.437139      06h57m11.5s   +20d26m14s   195.17203   10.378968    0.016621500    0.001   0.017078704    0.0839   0.0026    0.2600   UGC_3611                     S0/a                 54464.79   0.59     -999        0.605     0.104   3.00      0.33   -0.038   0.046    34.459    0.103   2015-Jun-07_05:28:06_(grid)_good_fit_(0.1350_<_3.0000000)_sn2008C           
sn2007sr          Ia     180.47000   -18.972694     12h01m52.8s   -18d58m22s   286.99441   42.360187    0.0054700000   0.001   0.0066531749   0.0471   0.0011    0.1459   NGC_4038                     SB(s)m(pec)          54447.92   0.51     -999        0.308     0.080   2.96      0.32   -0.083   0.040    31.993    0.088   2015-Jun-05_23:32:57_(grid)_good_fit_(0.2380_<_3.0000000)_sn2007sr          
sn2007rx          Ia     355.04900   27.421250      23h40m11.7s   +27d25m17s   104.08096   -32.829174   0.030051000    0.001   0.028899594    0.0890   0.0078    0.2759   BATC_J234012.05+272512.23    Anon                 54441      3        54441       0.154     0.130   2.99      0.26   -0.249   0.080    35.627    0.145   tbmax_CBET_1157_MLCS_larger_error                                           
sn2007qe          Ia     358.55400   27.409278      23h54m13.0s   +27d24m33s   107.63414   -33.756834   0.024000000    0.001   0.022858696    0.0383   0.0010    0.1187   NSF_J235412.09+272432.3      Anon                 54428.87   0.15     -999        0.161     0.095   3.04      0.35   -0.215   0.035    35.613    0.099   2015-Jun-06_04:35:04_(grid)_good_fit_(0.2407_<_3.0000000)_sn2007qe          
sn2007nq          Ia     14.389875   -1.3886110     00h57m33.6s   -01d23m19s   126.45124   -64.218475   0.045000000    0.001   0.043903518    0.0354   0.0012    0.1096   UGC_595                      S?                   54396.94   0.47     -999        0.060     0.049   2.99      0.26   0.361    0.063    36.661    0.077   2015-Jun-07_04:20:25_(grid)_good_fit_(0.5031_<_3.0000000)_sn2007nq          
sn2007le          Ia     354.70171   -6.5225830     23h38m48.4s   -06d31m21s   79.702809   -63.124566   0.0067000000   0.001   0.0055050073   0.0334   0.0003    0.1036   NGC_7721                     SA(s)c               54398.83   0.14     -999        0.816     0.079   2.70      0.25   -0.111   0.033    32.464    0.086   2015-Jun-07_05:48:03_(grid)_good_fit_(0.1181_<_3.0000000)_sn2007le          
sn2007fb          Ia     359.21800   5.5088333      23h56m52.4s   +05d30m32s   98.901162   -54.796785   0.018026000    0.001   0.016812197    0.0556   0.0011    0.1725   UGC_12859                    Sbc                  54287      3        54287       0.064     0.053   2.89      0.20   0.348    0.076    34.883    0.096   tbmax_CBET_993_MLCS_larger_error                                            
sn2007cq          Ia     333.66846   5.0802500      22h14m40.4s   +05d04m49s   67.322689   -40.292548   0.026223800    0.001   0.025025099    0.1096   0.0023    0.3397   2MASX_J22144070+0504435      Anon                 54280.50   0.25     -999        0.087     0.063   2.97      0.26   0.020    0.046    35.378    0.081   2015-Jun-06_21:20:28_(grid)_bad_fit_(64.6672_>_3.0000000)_sn2007cq          
sn2007co          Ia     275.76500   29.897111      18h23m03.6s   +29d53m50s   57.582383   18.818765    0.026968100    0.001   0.026568412    0.1149   0.0043    0.3563   MCG_+05-43-16                Anon                 54264.61   0.24     -999        0.493     0.098   2.85      0.30   -0.035   0.046    35.537    0.092   2015-Jun-06_21:13:22_(grid)_good_fit_(0.3538_<_3.0000000)_sn2007co          
sn2007ca          Ia     202.77421   -15.101833     13h31m05.8s   -15d06m07s   316.95610   46.687125    0.014100000    0.001   0.015113462    0.0668   0.0018    0.2071   MCG_-02-34-61                Scpecedge-on         54226.79   0.16     -999        0.990     0.125   3.17      0.37   -0.176   0.035    34.393    0.124   2015-Jul-10_22:49:52_(grid)_good_fit_(0.5697_<_3.0000000)_sn2007ca          
sn2007S           Ia     150.13025   4.4072780      10h00m31.3s   +04d24m26s   234.36437   43.382402    0.013900000    0.001   0.015053988    0.0278   0.0018    0.0863   UGC_5378                     Sb                   54143.25   0.17     -999        1.194     0.118   2.91      0.29   -0.303   0.028    34.049    0.120   2015-Jun-06_05:28:04_(grid)_good_fit_(0.3992_<_3.0000000)_sn2007S           
sn2006lf          Ia     69.618042   44.037111      04h38m29.5s   +44d02m01s   159.91646   -1.9342556   0.013205800    0.001   0.012972315    0.9574   0.0583    2.9678   UGC_3108                     S?                   54044.79   0.13     -999        0.142     0.120   2.98      0.26   0.304    0.059    33.691    0.105   2015-Jun-05_19:32:39_(grid)_good_fit_(0.3842_<_3.0000000)_sn2006lf          
sn2006le          Ia     75.174958   62.255278      05h00m42.0s   +62d15m19s   147.87640   12.184947    0.017432100    0.001   0.017270646    0.4083   0.0078    1.2656   UGC_3218                     SAb                  54047.36   0.14     -999        0.083     0.062   2.89      0.20   -0.219   0.031    34.775    0.077   2015-Jun-05_19:16:10_(grid)_good_fit_(0.2557_<_3.0000000)_sn2006le          
